max_depth,min_samples_leaf,mean_abs_diff
3,10,1.2880995992334276e-14
3,50,1.2880995992334276e-14
3,100,1.2880995992334276e-14
5,10,4.3803644836019366e-05
5,50,8.277268816403779e-15
5,100,4.841624307461337e-15
7,10,0.00044091734199836326
7,50,0.00026491518726772754
7,100,0.0001742801748214327
